id_participante;edad;sexo;zona;parentesco;anios_cuidando;horas_diarias;apoyo_familiar;trabajo_remunerado;p8_dificultades;p9_apoyo_necesario
E001;49;hombre;periurbana;madre;1;6;si;si;No puedo dormir de corrido desde hace más de un año.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E002;31;mujer;periurbana;madre;2;6;no;si;Las citas siempre son en la mañana, que es cuando más trabajo hay en la casa.;Un taller donde nos enseñen a moverlos y a curar las llagas.
E003;43;mujer;rural;madre;5;4;no;si;Lo que más cansa es que no se acaba nunca, no hay días libres.;Apoyo económico para los pañales y los medicamentos.
E004;47;mujer;rural;madre;3;8;si;no;Me lastimé la espalda al moverla y nadie me enseñó cómo hacerlo.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E005;35;mujer;urbana;hermano;1;10;no;no;Tuve que dejar la escuela nocturna, ya no me daba el tiempo.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E006;58;mujer;periurbana;cónyuge;3;10;no;no;Me lastimé la espalda al moverla y nadie me enseñó cómo hacerlo.;Un taller donde nos enseñen a moverlos y a curar las llagas.
E007;65;mujer;periurbana;cónyuge;7;12;no;si;No puedo dormir de corrido desde hace más de un año.;Atención psicológica para quien cuida, no solo para el enfermo.
E008;39;mujer;urbana;suegra;5;4;no;si;No puedo dormir de corrido desde hace más de un año.;Que reconozcan esto como trabajo y cuente para la jubilación.
E009;49;mujer;periurbana;hermano;7;24;si;si;La clínica queda lejos y con la silla de ruedas el camión no sirve.;Información clara sobre qué sigue con la enfermedad.
E010;71;mujer;rural;cónyuge;7;12;no;no;Dejé mi trabajo y ahora dependo de lo que manden mis hermanos.;Que alguien viniera dos o tres veces por semana aunque fueran unas horas.
E011;58;mujer;rural;madre;7;4;si;si;Nadie de la familia quiere hablar de qué va a pasar después.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E012;54;mujer;periurbana;madre;2;24;no;si;No tengo con quién dejarlo ni una hora, ni para ir al doctor yo.;Atención psicológica para quien cuida, no solo para el enfermo.
E013;64;mujer;periurbana;cónyuge;5;10;si;si;Me lastimé la espalda al moverla y nadie me enseñó cómo hacerlo.;
E014;43;mujer;rural;padre;3;12;si;si;Dejé mi trabajo y ahora dependo de lo que manden mis hermanos.;Que reconozcan esto como trabajo y cuente para la jubilación.
E015;65;mujer;urbana;hermano;1;24;no;no;Lo que más cansa es que no se acaba nunca, no hay días libres.;
E016;64;mujer;periurbana;suegra;1;24;no;si;El dinero no alcanza para los pañales y las medicinas del mes.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E017;57;mujer;periurbana;hermano;1;6;si;si;El dinero no alcanza para los pañales y las medicinas del mes.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E018;68;mujer;urbana;hermano;5;8;no;no;Las citas siempre son en la mañana, que es cuando más trabajo hay en la casa.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E019;59;mujer;periurbana;suegra;7;24;si;si;Nadie de la familia quiere hablar de qué va a pasar después.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E020;45;mujer;rural;padre;9;4;si;no;Dejé mi trabajo y ahora dependo de lo que manden mis hermanos.;Apoyo económico para los pañales y los medicamentos.
E021;63;hombre;rural;cónyuge;1;12;no;no;Dejé mi trabajo y ahora dependo de lo que manden mis hermanos.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E022;63;mujer;rural;cónyuge;2;10;no;no;Nadie de la familia quiere hablar de qué va a pasar después.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E023;41;mujer;periurbana;madre;1;12;no;si;Las citas siempre son en la mañana, que es cuando más trabajo hay en la casa.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E024;57;hombre;rural;cónyuge;4;6;si;si;Me lastimé la espalda al moverla y nadie me enseñó cómo hacerlo.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E025;42;mujer;rural;madre;7;14;no;si;Me da culpa cuando me enojo con ella, y me enojo seguido.;Un taller donde nos enseñen a moverlos y a curar las llagas.
E026;53;mujer;urbana;suegra;2;16;no;si;Tuve que dejar la escuela nocturna, ya no me daba el tiempo.;No sé, ya ni pienso en eso.
E027;54;mujer;rural;madre;2;8;no;si;Las citas siempre son en la mañana, que es cuando más trabajo hay en la casa.;Información clara sobre qué sigue con la enfermedad.
E028;70;mujer;rural;suegra;4;8;no;si;Lo más pesado son las noches, se despierta y hay que levantarse varias veces.;No sé, ya ni pienso en eso.
E029;70;mujer;rural;padre;5;10;no;si;La clínica queda lejos y con la silla de ruedas el camión no sirve.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E030;47;mujer;rural;cónyuge;3;16;no;si;Nadie de la familia quiere hablar de qué va a pasar después.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E031;58;mujer;rural;suegra;9;8;no;no;Lo más pesado son las noches, se despierta y hay que levantarse varias veces.;Información clara sobre qué sigue con la enfermedad.
E032;40;mujer;urbana;padre;2;24;no;si;Lo más pesado son las noches, se despierta y hay que levantarse varias veces.;Que mis hermanos se turnaran, aunque fuera un fin de semana al mes.
E033;72;mujer;rural;suegra;1;4;si;si;Tuve que dejar la escuela nocturna, ya no me daba el tiempo.;Un taller donde nos enseñen a moverlos y a curar las llagas.
E034;61;mujer;urbana;madre;7;14;no;no;No puedo dormir de corrido desde hace más de un año.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
E035;46;mujer;rural;suegra;9;10;no;no;Me dijeron que había un programa pero llevo un año en lista de espera.;Un lugar donde dejarlo unas horas con gente preparada.
E036;64;hombre;urbana;suegra;2;16;si;si;El dinero no alcanza para los pañales y las medicinas del mes.;
E037;44;mujer;urbana;cónyuge;1;8;no;no;Dejé mi trabajo y ahora dependo de lo que manden mis hermanos.;Apoyo económico para los pañales y los medicamentos.
E038;45;hombre;periurbana;padre;1;16;no;si;Me da culpa cuando me enojo con ella, y me enojo seguido.;Que la consulta fuera a domicilio, ir a la clínica es un día completo.
